"let us",11,"let","us"
"live life",11,"live","life"
"love one",11,"love","one"
"mani thing",11,"mani","thing"
"monday night",11,"monday","night"
"one just",11,"one","just"
"open door",11,"open","door"
"pate fountain",11,"pate","fountain"
"percent percent",11,"percent","percent"
"polic depart",11,"polic","depart"
"spend money",11,"spend","money"
"start get",11,"start","get"
"start play",11,"start","play"
"think im",11,"think","im"
"time time",11,"time","time"
"vice presid",11,"vice","presid"
"wall street",11,"wall","street"
"will find",11,"will","find"
"will happen",11,"will","happen"
"will see",11,"will","see"
"year later",11,"year","later"
"youv got",11,"youv","got"
"anyth els",10,"anyth","els"
"bake sheet",10,"bake","sheet"
"best way",10,"best","way"
"bin laden",10,"bin","laden"
"breast cancer",10,"breast","cancer"
"build new",10,"build","new"
"can tell",10,"can","tell"
"cant get",10,"cant","get"
"chanc win",10,"chanc","win"
"counti sheriff",10,"counti","sheriff"
"coupl week",10,"coupl","week"
"day ago",10,"day","ago"
"day day",10,"day","day"
"dont like",10,"dont","like"
"dont need",10,"dont","need"
"dont worri",10,"dont","worri"
"earli s",10,"earli","s"
"econom develop",10,"econom","develop"
"everyon els",10,"everyon","els"
"feder govern",10,"feder","govern"
"feel free",10,"feel","free"
"first half",10,"first","half"
"first round",10,"first","round"
"four time",10,"four","time"
"go take",10,"go","take"
"good news",10,"good","news"
"great deal",10,"great","deal"
"ha ha",10,"ha","ha"
"happi new",10,"happi","new"
"home run",10,"home","run"
"hope will",10,"hope","will"
"im excit",10,"im","excit"
"im sorri",10,"im","sorri"
"just ask",10,"just","ask"
"just look",10,"just","look"
"just much",10,"just","much"
"know go",10,"know","go"
"know want",10,"know","want"
"know will",10,"know","will"
"last time",10,"last","time"
"like just",10,"like","just"
"lot peopl",10,"lot","peopl"
"love much",10,"love","much"
"made decis",10,"made","decis"
"middl school",10,"middl","school"
"mitt romney",10,"mitt","romney"
"much better",10,"much","better"
"much fun",10,"much","fun"
"ncaa tournament",10,"ncaa","tournament"
"need help",10,"need","help"
"new orlean",10,"new","orlean"
"north carolina",10,"north","carolina"
"one man",10,"one","man"
"one week",10,"one","week"
"peopl like",10,"peopl","like"
"pretti sure",10,"pretti","sure"
"real life",10,"real","life"
"said like",10,"said","like"
"said that",10,"said","that"
"six month",10,"six","month"
"small busi",10,"small","busi"
"social secur",10,"social","secur"
"south africa",10,"south","africa"
"tea parti",10,"tea","parti"
"th anniversari",10,"th","anniversari"
"thing go",10,"thing","go"
"think can",10,"think","can"
"two day",10,"two","day"
"two hour",10,"two","hour"
"us know",10,"us","know"
"walk around",10,"walk","around"
"walk away",10,"walk","away"
"washington dc",10,"washington","dc"
"will need",10,"will","need"
"work well",10,"work","well"
"yearold boy",10,"yearold","boy"
"york citi",10,"york","citi"
"young peopl",10,"young","peopl"
"absolut love",9,"absolut","love"
"anoth one",9,"anoth","one"
"believ god",9,"believ","god"
"can even",9,"can","even"
"can imagin",9,"can","imagin"
"can look",9,"can","look"
"cant find",9,"cant","find"
"council member",9,"council","member"
"didnt get",9,"didnt","get"
"doesnt want",9,"doesnt","want"
"dont believ",9,"dont","believ"
"earlier month",9,"earlier","month"
"even know",9,"even","know"
"facebook page",9,"facebook","page"
"feel bad",9,"feel","bad"
"first day",9,"first","day"
"first place",9,"first","place"
"game play",9,"game","play"
"gay marriag",9,"gay","marriag"
"general manag",9,"general","manag"
"get new",9,"get","new"
"go like",9,"go","like"
"go make",9,"go","make"
"go tri",9,"go","tri"
"groceri store",9,"groceri","store"
"help get",9,"help","get"
"help peopl",9,"help","peopl"
"hope enjoy",9,"hope","enjoy"
"hyun suk",9,"hyun","suk"
"im look",9,"im","look"
"im still",9,"im","still"
"ive ever",9,"ive","ever"
"just came",9,"just","came"
"just finish",9,"just","finish"
"just littl",9,"just","littl"
"just tri",9,"just","tri"
"just watch",9,"just","watch"
"know think",9,"know","think"
"like im",9,"like","im"
"like see",9,"like","see"
"long ago",9,"long","ago"
"long way",9,"long","way"
"look good",9,"look","good"
"love see",9,"love","see"
"make feel",9,"make","feel"
"make one",9,"make","one"
"make think",9,"make","think"
"mayb just",9,"mayb","just"
"number peopl",9,"number","peopl"
"oh god",9,"oh","god"
"one side",9,"one","side"
"one will",9,"one","will"
"peopl get",9,"peopl","get"
"peopl know",9,"peopl","know"
"peopl think",9,"peopl","think"
"plain dealer",9,"plain","dealer"
"play well",9,"play","well"
"presid barack",9,"presid","barack"
"pretti good",9,"pretti","good"
"prime minist",9,"prime","minist"
"realli care",9,"realli","care"
"realli enjoy",9,"realli","enjoy"
"right thing",9,"right","thing"
"rose percent",9,"rose","percent"
"said hes",9,"said","hes"
"said im",9,"said","im"
"said mani",9,"said","mani"
"said monday",9,"said","monday"
"say one",9,"say","one"
"school board",9,"school","board"
"second quarter",9,"second","quarter"
"six year",9,"six","year"
"someth like",9,"someth","like"
"state univers",9,"state","univers"
"take away",9,"take","away"
"take look",9,"take","look"
"thing know",9,"thing","know"
"think go",9,"think","go"
"think one",9,"think","one"
"three hour",9,"three","hour"
"time day",9,"time","day"
"time im",9,"time","im"
"time see",9,"time","see"
"today will",9,"today","will"
"valentin day",9,"valentin","day"
"white hous",9,"white","hous"
"will ever",9,"will","ever"
"will work",9,"will","work"
"work way",9,"work","way"
"your go",9,"your","go"
"your welcom",9,"your","welcom"
"alway good",8,"alway","good"
"around corner",8,"around","corner"
"better now",8,"better","now"
"board member",8,"board","member"
"bring back",8,"bring","back"
"came back",8,"came","back"
"can caus",8,"can","caus"
"cant believ",8,"cant","believ"
"chief execut",8,"chief","execut"
"cinco de",8,"cinco","de"
"classic pate",8,"classic","pate"
"day week",8,"day","week"
"de mayo",8,"de","mayo"
"didnt know",8,"didnt","know"
"dont understand",8,"dont","understand"
"elementari school",8,"elementari","school"
"everi month",8,"everi","month"
"everyth els",8,"everyth","els"
"final get",8,"final","get"
"first four",8,"first","four"
"fiscal year",8,"fiscal","year"
"free throw",8,"free","throw"
"friday night",8,"friday","night"
"get work",8,"get","work"
"glad like",8,"glad","like"
"go away",8,"go","away"
"go just",8,"go","just"
"go well",8,"go","well"
"go work",8,"go","work"
"god bless",8,"god","bless"
"good enough",8,"good","enough"
"good friend",8,"good","friend"
"good job",8,"good","job"
"half hour",8,"half","hour"
"happi mother",8,"happi","mother"
"havent seen",8,"havent","seen"
"hope can",8,"hope","can"
"id like",8,"id","like"
"ill never",8,"ill","never"
"im pretti",8,"im","pretti"
"im tri",8,"im","tri"
"issu statement",8,"issu","statement"
"jesus christ",8,"jesus","christ"
"just give",8,"just","give"
"just make",8,"just","make"
"keep eye",8,"keep","eye"
"know like",8,"know","like"
"las vega",8,"las","vega"
"last summer",8,"last","summer"
"late night",8,"late","night"
"later year",8,"later","year"
"least two",8,"least","two"
"lie lie",8,"lie","lie"
"like good",8,"like","good"
"littl girl",8,"littl","girl"
"love god",8,"love","god"
"love new",8,"love","new"
"mani us",8,"mani","us"
"mani year",8,"mani","year"
"may just",8,"may","just"
"may well",8,"may","well"
"medic center",8,"medic","center"
"middlesex counti",8,"middlesex","counti"
"million dollar",8,"million","dollar"
"minut second",8,"minut","second"
"mom dad",8,"mom","dad"
"much money",8,"much","money"
"much need",8,"much","need"
"much time",8,"much","time"
"need make",8,"need","make"
"need new",8,"need","new"
"need see",8,"need","see"
"never thought",8,"never","thought"
"new england",8,"new","england"
"new law",8,"new","law"
"oh yeah",8,"oh","yeah"
"one first",8,"one","first"
"pass away",8,"pass","away"
"past two",8,"past","two"
"past week",8,"past","week"
"peanut butter",8,"peanut","butter"
"per game",8,"per","game"
"play part",8,"play","part"
"pleas follow",8,"pleas","follow"
"presid obama",8,"presid","obama"
"press confer",8,"press","confer"
"realli feel",8,"realli","feel"
"remind us",8,"remind","us"
"said look",8,"said","look"
"said love",8,"said","love"
"say will",8,"say","will"
"school will",8,"school","will"
"school year",8,"school","year"
"second half",8,"second","half"
"seven year",8,"seven","year"
"sound good",8,"sound","good"
"star war",8,"star","war"
"sweet potato",8,"sweet","potato"
"take photo",8,"take","photo"
"tax rate",8,"tax","rate"
"ten year",8,"ten","year"
"thank everyon",8,"thank","everyon"
"thank god",8,"thank","god"
"that just",8,"that","just"
"thing will",8,"thing","will"
"time go",8,"time","go"
"time one",8,"time","one"
"told us",8,"told","us"
"tri find",8,"tri","find"
"tri keep",8,"tri","keep"
"two month",8,"two","month"
"u r",8,"u","r"
"us district",8,"us","district"
"want use",8,"want","use"
"weight loss",8,"weight","loss"
"well done",8,"well","done"
"well now",8,"well","now"
"will allow",8,"will","allow"
"will know",8,"will","know"
"will play",8,"will","play"
"will present",8,"will","present"
"will rememb",8,"will","rememb"
"work peopl",8,"work","peopl"
"world war",8,"world","war"
"year will",8,"year","will"
"year year",8,"year","year"
"almost everi",7,"almost","everi"
"alreadi know",7,"alreadi","know"
"also see",7,"also","see"
"anyon know",7,"anyon","know"
"associ press",7,"associ","press"
"back work",7,"back","work"
"beauti day",7,"beauti","day"
"better get",7,"better","get"
"came across",7,"came","across"
"can chang",7,"can","chang"
"can easili",7,"can","easili"
"can hear",7,"can","hear"
"can never",7,"can","never"
"chang min",7,"chang","min"
"come across",7,"come","across"
"come play",7,"come","play"
"couldnt get",7,"couldnt","get"
"custom servic",7,"custom","servic"
"day go",7,"day","go"
"day long",7,"day","long"
"day will",7,"day","will"
"decid go",7,"decid","go"
"didnt like",7,"didnt","like"
"dine room",7,"dine","room"
"district court",7,"district","court"
"doesnt think",7,"doesnt","think"
"doesnt work",7,"doesnt","work"
"end year",7,"end","year"
"even better",7,"even","better"
"ever sinc",7,"ever","sinc"
"everi one",7,"everi","one"
"feel better",7,"feel","better"
"feel great",7,"feel","great"
"final four",7,"final","four"
"first one",7,"first","one"
"five six",7,"five","six"
"follow follow",7,"follow","follow"
"follow us",7,"follow","us"
"free agent",7,"free","agent"
"friend famili",7,"friend","famili"
"game will",7,"game","will"
"get away",7,"get","away"
"get free",7,"get","free"
"get lot",7,"get","lot"
"get way",7,"get","way"
"gift card",7,"gift","card"
"go look",7,"go","look"
"good caus",7,"good","caus"
"good way",7,"good","way"
"got back",7,"got","back"
"got good",7,"got","good"
"great see",7,"great","see"
"great way",7,"great","way"
"h jpmorgan",7,"h","jpmorgan"
"head coach",7,"head","coach"
"hour day",7,"hour","day"
"im bore",7,"im","bore"
"im proud",7,"im","proud"
"imperi stout",7,"imperi","stout"
"incom tax",7,"incom","tax"
"jae ha",7,"jae","ha"
"jersey citi",7,"jersey","citi"
"just happen",7,"just","happen"
"just know",7,"just","know"
"just need",7,"just","need"
"just think",7,"just","think"
"kansa citi",7,"kansa","citi"
"know much",7,"know","much"
"know your",7,"know","your"
"last fall",7,"last","fall"
"left behind",7,"left","behind"
"let say",7,"let","say"
"light bulb",7,"light","bulb"
"like lot",7,"like","lot"
"like mani",7,"like","mani"
"like old",7,"like","old"
"like your",7,"like","your"
"littl boy",7,"littl","boy"
"live music",7,"live","music"
"look around",7,"look","around"
"look new",7,"look","new"
"lose weight",7,"lose","weight"
"lot time",7,"lot","time"
"love just",7,"love","just"
"made way",7,"made","way"
"make decis",7,"make","decis"
"make easier",7,"make","easier"
"make way",7,"make","way"
"mani way",7,"mani","way"
"month later",7,"month","later"
"much easier",7,"much","easier"
"nation secur",7,"nation","secur"
"never know",7,"never","know"
"never seen",7,"never","seen"
"never stop",7,"never","stop"
"new job",7,"new","job"
"new music",7,"new","music"
"new rule",7,"new","rule"
"noth els",7,"noth","els"
"now get",7,"now","get"
"now go",7,"now","go"
"now just",7,"now","just"
"oh well",7,"oh","well"
"one direct",7,"one","direct"
"one friend",7,"one","friend"
"one reason",7,"one","reason"
"one step",7,"one","step"
"orang counti",7,"orang","counti"
"pattern paper",7,"pattern","paper"
"penn state",7,"penn","state"
"peopl just",7,"peopl","just"
"peopl want",7,"peopl","want"
"play game",7,"play","game"
"pleas dont",7,"pleas","dont"
"pm pm",7,"pm","pm"
"point rebound",7,"point","rebound"
"point view",7,"point","view"
"post blog",7,"post","blog"
"public safeti",7,"public","safeti"
"put us",7,"put","us"
"realli dont",7,"realli","dont"
"realli excit",7,"realli","excit"
"realli great",7,"realli","great"
"realli hope",7,"realli","hope"
"realli look",7,"realli","look"
"regular season",7,"regular","season"
"run around",7,"run","around"
"run away",7,"run","away"
"said didnt",7,"said","didnt"
"said feel",7,"said","feel"
"said go",7,"said","go"
"said just",7,"said","just"
"said weve",7,"said","weve"
"say go",7,"say","go"
"say yes",7,"say","yes"
"school student",7,"school","student"
"see thing",7,"see","thing"
"set asid",7,"set","asid"
"sever time",7,"sever","time"
"short stori",7,"short","stori"
"sinc last",7,"sinc","last"
"spend day",7,"spend","day"
"spread word",7,"spread","word"
"start new",7,"start","new"
"state law",7,"state","law"
"state park",7,"state","park"
"still love",7,"still","love"
"still want",7,"still","want"
"super bowl",7,"super","bowl"
"tax cut",7,"tax","cut"
"team will",7,"team","will"
"th birthday",7,"th","birthday"
"there one",7,"there","one"
"thing get",7,"thing","get"
"think will",7,"think","will"
"thought id",7,"thought","id"
"three week",7,"three","week"
"thursday night",7,"thursday","night"
"time can",7,"time","can"
"time like",7,"time","like"
"time take",7,"time","take"
"turn around",7,"turn","around"
"two new",7,"two","new"
"two three",7,"two","three"
"unemploy rate",7,"unemploy","rate"
"us believ",7,"us","believ"
"wait long",7,"wait","long"
"wast time",7,"wast","time"
"well just",7,"well","just"
"west coast",7,"west","coast"
"what go",7,"what","go"
"will abl",7,"will","abl"
"will add",7,"will","add"
"will announc",7,"will","announc"
"will becom",7,"will","becom"
"will like",7,"will","like"
"will look",7,"will","look"
"will pay",7,"will","pay"
"will provid",7,"will","provid"
"will remain",7,"will","remain"
"will return",7,"will","return"
"will serv",7,"will","serv"
"will talk",7,"will","talk"
"win game",7,"win","game"
"year can",7,"year","can"
"year prison",7,"year","prison"
"york ny",7,"york","ny"
"abl get",6,"abl","get"
"accord report",6,"accord","report"
"across state",6,"across","state"
"african american",6,"african","american"
"air forc",6,"air","forc"
"almost alway",6,"almost","alway"
"also come",6,"also","come"
"also get",6,"also","get"
"also make",6,"also","make"
"also use",6,"also","use"
"also want",6,"also","want"
"anoth day",6,"anoth","day"
"anyth like",6,"anyth","like"
"anytim soon",6,"anytim","soon"
"art craft",6,"art","craft"
"atlant citi",6,"atlant","citi"
"averag point",6,"averag","point"
"bake minut",6,"bake","minut"
"baptist church",6,"baptist","church"
"big deal",6,"big","deal"
"big ten",6,"big","ten"
"bit like",6,"bit","like"
"book just",6,"book","just"
"boy girl",6,"boy","girl"
"call back",6,"call","back"
"call us",6,"call","us"
"can becom",6,"can","becom"
"can buy",6,"can","buy"
"can call",6,"can","call"
"can found",6,"can","found"
"can give",6,"can","give"
"can provid",6,"can","provid"
"can work",6,"can","work"
"cant see",6,"cant","see"
"circuit court",6,"circuit","court"
"cleveland clinic",6,"cleveland","clinic"
"close eye",6,"close","eye"
"come mind",6,"come","mind"
"come see",6,"come","see"
"comic book",6,"comic","book"
"compani said",6,"compani","said"
"counti prosecutor",6,"counti","prosecutor"
"coupl day",6,"coupl","day"
"court appeal",6,"court","appeal"
"craft beer",6,"craft","beer"
"day even",6,"day","even"
"day everi",6,"day","everi"
"day get",6,"day","get"
"day just",6,"day","just"
"day later",6,"day","later"
"day like",6,"day","like"
"day love",6,"day","love"
"day one",6,"day","one"
"day right",6,"day","right"
"day think",6,"day","think"
"day year",6,"day","year"
"desper need",6,"desper","need"
"didnt even",6,"didnt","even"
"differ way",6,"differ","way"
"district judg",6,"district","judg"
"doesnt mean",6,"doesnt","mean"
"dont even",6,"dont","even"
"dont expect",6,"dont","expect"
"dont miss",6,"dont","miss"
"earlier year",6,"earlier","year"
"either way",6,"either","way"
"eli kick",6,"eli","kick"
"els want",6,"els","want"
"end day",6,"end","day"
"even harder",6,"even","harder"
"everi now",6,"everi","now"
"famili member",6,"famili","member"
"featur new",6,"featur","new"
"feel need",6,"feel","need"
"first book",6,"first","book"
"first ever",6,"first","ever"
"first quarter",6,"first","quarter"
"follow u",6,"follow","u"
"footbal team",6,"footbal","team"
"four month",6,"four","month"
"front door",6,"front","door"
"get close",6,"get","close"
"get first",6,"get","first"
"get involv",6,"get","involv"
"get job",6,"get","job"
"get know",6,"get","know"
"global warm",6,"global","warm"
"go come",6,"go","come"
"go happen",6,"go","happen"
"go wrong",6,"go","wrong"
"golden brown",6,"golden","brown"
"good look",6,"good","look"
"good start",6,"good","start"
"good stuff",6,"good","stuff"
"good work",6,"good","work"
"got go",6,"got","go"
"got job",6,"got","job"
"got littl",6,"got","littl"
"gov chris",6,"gov","chris"
"great job",6,"great","job"
"group peopl",6,"group","peopl"
"hes still",6,"hes","still"
"hope get",6,"hope","get"
"hope see",6,"hope","see"
"human right",6,"human","right"
"hunger game",6,"hunger","game"
"id say",6,"id","say"
"im readi",6,"im","readi"
"im talk",6,"im","talk"
"im tire",6,"im","tire"
"im work",6,"im","work"
"import part",6,"import","part"
"ive alway",6,"ive","alway"
"ive tri",6,"ive","tri"
"jpmorgan us",6,"jpmorgan","us"
"just cant",6,"just","cant"
"just enough",6,"just","enough"
"just keep",6,"just","keep"
"just three",6,"just","three"
"just time",6,"just","time"
"just two",6,"just","two"
"keep go",6,"keep","go"
"keep us",6,"keep","us"
"knew want",6,"knew","want"
"know get",6,"know","get"
"late last",6,"late","last"
"late s",6,"late","s"
"law allow",6,"law","allow"
"least minut",6,"least","minut"
"let alon",6,"let","alon"
"life without",6,"life","without"
"like can",6,"like","can"
"like new",6,"like","new"
"like will",6,"like","will"
"littl time",6,"littl","time"
"long day",6,"long","day"
"long enough",6,"long","enough"
"look great",6,"look","great"
"love heart",6,"love","heart"
"love life",6,"love","life"
"love work",6,"love","work"
"made one",6,"made","one"
"made sure",6,"made","sure"
"major leagu",6,"major","leagu"
"make first",6,"make","first"
"make look",6,"make","look"
"make money",6,"make","money"
"make us",6,"make","us"
"mani other",6,"mani","other"
"martha stewart",6,"martha","stewart"
"may day",6,"may","day"
"may even",6,"may","even"
"may may",6,"may","may"
"might well",6,"might","well"
"miss u",6,"miss","u"
"move new",6,"move","new"
"much less",6,"much","less"
"must also",6,"must","also"
"near two",6,"near","two"
"need go",6,"need","go"
"need one",6,"need","one"
"new follow",6,"new","follow"
"new way",6,"new","way"
"north america",6,"north","america"
"now make",6,"now","make"
"now time",6,"now","time"
"now want",6,"now","want"
"now will",6,"now","will"
"obama administr",6,"obama","administr"
"offici say",6,"offici","say"
"ohio state",6,"ohio","state"
"old man",6,"old","man"
"one big",6,"one","big"
"one biggest",6,"one","biggest"
"one even",6,"one","even"
"one get",6,"one","get"
"one hand",6,"one","hand"
"one mani",6,"one","mani"
"one person",6,"one","person"
"one place",6,"one","place"
"one realli",6,"one","realli"
"order make",6,"order","make"
"oregon state",6,"oregon","state"
"osama bin",6,"osama","bin"
"passion fruit",6,"passion","fruit"
"peopl go",6,"peopl","go"
"peopl make",6,"peopl","make"
"percent year",6,"percent","year"
"phone call",6,"phone","call"
"place like",6,"place","like"
"plan parenthood",6,"plan","parenthood"
"play one",6,"play","one"
"plead guilti",6,"plead","guilti"
"pm saturday",6,"pm","saturday"
"point guard",6,"point","guard"
"presidenti candid",6,"presidenti","candid"
"pretti cool",6,"pretti","cool"
"program will",6,"program","will"
"properti tax",6,"properti","tax"
"question whether",6,"question","whether"
"realli go",6,"realli","go"
"realli just",6,"realli","just"
"realli love",6,"realli","love"
"realli mean",6,"realli","mean"
"realli quit",6,"realli","quit"
"realli well",6,"realli","well"
"red wine",6,"red","wine"
"relay team",6,"relay","team"
"return home",6,"return","home"
"right hand",6,"right","hand"
"said believ",6,"said","believ"
"said dont",6,"said","dont"
"said got",6,"said","got"
"said may",6,"said","may"
"said want",6,"said","want"
"saturday morn",6,"saturday","morn"
"say hello",6,"say","hello"
"say im",6,"say","im"
"say just",6,"say","just"
"say need",6,"say","need"
"say new",6,"say","new"
"say someth",6,"say","someth"
"second consecut",6,"second","consecut"
"see can",6,"see","can"
"see guy",6,"see","guy"
"senat bill",6,"senat","bill"
"six game",6,"six","game"
"small amount",6,"small","amount"
"social network",6,"social","network"
"someth new",6,"someth","new"
"someth realli",6,"someth","realli"
"spokesman said",6,"spokesman","said"
"st charl",6,"st","charl"
"stamp set",6,"stamp","set"
"start blog",6,"start","blog"
"start look",6,"start","look"
"state depart",6,"state","depart"
"still make",6,"still","make"
"stock market",6,"stock","market"
"student will",6,"student","will"
"take one",6,"take","one"
"take us",6,"take","us"
"tax break",6,"tax","break"
"tax increas",6,"tax","increas"
"tell stori",6,"tell","stori"
"ten minut",6,"ten","minut"
"that go",6,"that","go"
"that great",6,"that","great"
"thing im",6,"thing","im"
