"quadragram","n","start","end"
"florenc normandi florenc normandi",2,"florenc normandi florenc","normandi"
"follow pois creation twitter",2,"follow pois creation","twitter"
"former editor news world",2,"former editor news","world"
"fountain park sept u",2,"fountain park sept","u"
"g gentri pass jordan",2,"g gentri pass","jordan"
"gas emiss blame global",2,"gas emiss blame","global"
"gentri pass jordan eli",2,"gentri pass jordan","eli"
"georg w bush will",2,"georg w bush","will"
"get first round pick",2,"get first round","pick"
"girl read jean rhys",2,"girl read jean","rhys"
"girl yearold boy yearold",2,"girl yearold boy","yearold"
"girl yearold girl yearold",2,"girl yearold girl","yearold"
"go back go back",2,"go back go","back"
"go servic desk pay",2,"go servic desk","pay"
"got m sign bonus",2,"got m sign","bonus"
"greenhous gas emiss blame",2,"greenhous gas emiss","blame"
"gross m last weekend",2,"gross m last","weekend"
"h jpmorgan us govt",2,"h jpmorgan us","govt"
"h jpmorgan us trea",2,"h jpmorgan us","trea"
"happi happi joy joy",2,"happi happi joy","joy"
"happi new year everyon",2,"happi new year","everyon"
"happi project gretchen rubin",2,"happi project gretchen","rubin"
"held press confer announc",2,"held press confer","announc"
"hire produc trail light",2,"hire produc trail","light"
"hire remain strong hospit",2,"hire remain strong","hospit"
"howard counti circuit court",2,"howard counti circuit","court"
"im go go detail",2,"im go go","detail"
"im go right now",2,"im go right","now"
"im just tri get",2,"im just tri","get"
"incorpor item c pp",2,"incorpor item c","pp"
"jean rhys girl read",2,"jean rhys girl","read"
"jordan eli kick g",2,"jordan eli kick","g"
"juli u mid atlant",2,"juli u mid","atlant"
"june u u u",2,"june u u","u"
"kennywood west mifflin pa",2,"kennywood west mifflin","pa"
"kick g gentri pass",2,"kick g gentri","pass"
"krampus legend art workshop",2,"krampus legend art","workshop"
"l shelton yearold boy",2,"l shelton yearold","boy"
"lambiek year old girardin",2,"lambiek year old","girardin"
"larg parti eat whole",2,"larg parti eat","whole"
"leagu pate fountain park",2,"leagu pate fountain","park"
"let us know think",2,"let us know","think"
"littl stage puppet theater",2,"littl stage puppet","theater"
"lost percent nasdaq composit",2,"lost percent nasdaq","composit"
"m make gross m",2,"m make gross","m"
"major trophi everi game",2,"major trophi everi","game"
"make gross m last",2,"make gross m","last"
"make million dollar year",2,"make million dollar","year"
"man cite disord conduct",2,"man cite disord","conduct"
"mani thing im thank",2,"mani thing im","thank"
"mark first time sinc",2,"mark first time","sinc"
"martin luther king jr",2,"martin luther king","jr"
"matter whether win lose",2,"matter whether win","lose"
"may u u u",2,"may u u","u"
"million euro rm million",2,"million euro rm","million"
"million first quarter year",2,"million first quarter","year"
"mmfcl d r janus",2,"mmfcl d r","janus"
"mmfinv r h jpmorgan",2,"mmfinv r h","jpmorgan"
"mmfinvestor r h jpmorgan",2,"mmfinvestor r h","jpmorgan"
"mmfmorgan jpmorgan liquid asset",2,"mmfmorgan jpmorgan liquid","asset"
"mmfservic h jpmorgan us",2,"mmfservic h jpmorgan","us"
"mr edward mr mendahun",2,"mr edward mr","mendahun"
"near two week ago",2,"near two week","ago"
"new york stock exchang",2,"new york stock","exchang"
"new york time report",2,"new york time","report"
"news world hack phone",2,"news world hack","phone"
"oh god oh god",2,"oh god oh","god"
"oneyear anniversari osama bin",2,"oneyear anniversari osama","bin"
"open mouth close mouth",2,"open mouth close","mouth"
"osama bin laden death",2,"osama bin laden","death"
"overal hire remain strong",2,"overal hire remain","strong"
"paper make feel like",2,"paper make feel","like"
"park juli u mid",2,"park juli u","mid"
"park june u u",2,"park june u","u"
"park sept u u",2,"park sept u","u"
"parti eat whole menu",2,"parti eat whole","menu"
"paseo de la princesa",2,"paseo de la","princesa"
"pass jordan eli kick",2,"pass jordan eli","kick"
"pate fountain park sept",2,"pate fountain park","sept"
"pattern paper creativ imagin",2,"pattern paper creativ","imagin"
"pay lower tax rate",2,"pay lower tax","rate"
"petit howard counti circuit",2,"petit howard counti","circuit"
"plate blue white mottahedeh",2,"plate blue white","mottahedeh"
"pm april pm april",2,"pm april pm","april"
"presid georg w bush",2,"presid georg w","bush"
"presidenti candid mitt romney",2,"presidenti candid mitt","romney"
"prime minist benjamin netanyahu",2,"prime minist benjamin","netanyahu"
"produc trail light austin",2,"produc trail light","austin"
"publish new york time",2,"publish new york","time"
"put thing perspect like",2,"put thing perspect","like"
"r h jpmorgan us",2,"r h jpmorgan","us"
"rain barrel use tube",2,"rain barrel use","tube"
"rhys girl read jean",2,"rhys girl read","jean"
"risk cancer heart diseas",2,"risk cancer heart","diseas"
"roman cathol code canon",2,"roman cathol code","canon"
"runtex hire produc trail",2,"runtex hire produc","trail"
"san francisco state univers",2,"san francisco state","univers"
"say goodby close eye",2,"say goodby close","eye"
"scott counti warrant yearold",2,"scott counti warrant","yearold"
"sept u u u",2,"sept u u","u"
"sever year ago said",2,"sever year ago","said"
"shakope man cite disord",2,"shakope man cite","disord"
"shelton yearold boy moder",2,"shelton yearold boy","moder"
"silk color palett challeng",2,"silk color palett","challeng"
"sinc govern never yet",2,"sinc govern never","yet"
"smelli cat smelli cat",2,"smelli cat smelli","cat"
"stock worth car allow",2,"stock worth car","allow"
"team nonwin prebowl record",2,"team nonwin prebowl","record"
"tenant person financi inform",2,"tenant person financi","inform"
"th us circuit court",2,"th us circuit","court"
"thank rt hope well",2,"thank rt hope","well"
"thing im look forward",2,"thing im look","forward"
"three best diet pill",2,"three best diet","pill"
"travel leagu pate fountain",2,"travel leagu pate","fountain"
"u girl team won",2,"u girl team","won"
"u u lehigh valley",2,"u u lehigh","valley"
"u u u lehigh",2,"u u u","lehigh"
"us circuit court appeal",2,"us circuit court","appeal"
"vacant hous real estat",2,"vacant hous real","estat"
"valid least six month",2,"valid least six","month"
"warrant yearold shakope man",2,"warrant yearold shakope","man"
"will go long way",2,"will go long","way"
"women work hard mother",2,"women work hard","mother"
"won best actor oscar",2,"won best actor","oscar"
"world realli need michael",2,"world realli need","michael"
"worth million first year",2,"worth million first","year"
"year old girardin lambiek",2,"year old girardin","lambiek"
"yearold boy moder injuri",2,"yearold boy moder","injuri"
"yearold girl yearold boy",2,"yearold girl yearold","boy"
"yearold girl yearold girl",2,"yearold girl yearold","girl"
"yearold shakope man cite",2,"yearold shakope man","cite"
